deep_temp_c,surface_temp_c,intake_depth_m,pipe_diameter_m,pipe_length_m,vertical_lift_height_m,number_of_pipes,it_load_mw,delta_t_c,hx_pressure_drop_kpa,pipe_roughness_mm,turbine_efficiency,pump_efficiency,mass_flow_kg_s,volumetric_flow_m3_s,velocity_ms,rho_cold_kgm3,rho_hot_kgm3,buoyancy_pressure_pa,buoyancy_head_m,friction_losses_pa,heat_exchanger_losses_pa,total_losses_pa,net_head_m,turbine_generation_mw,pump_energy_mw,aux_energy_mw,hydra_net_energy_mw,baseline_cooling_energy_mw,baseline_cooling_fraction,energy_savings_fraction,gravity_assist_fraction,pump_offset_fraction,required_velocity_ms,natural_velocity_ms,required_flow_capacity_ratio,natural_cooling_capacity_ratio,pressure_balance_ratio,classification,failure_mode,constraint_flags,issue_count,cooling_works,passive_natural_feasible,requires_pump_assist,circulation_regime,success_layer,turbine_recovery_active,meets_10pct_target,scenario_family
4.5,24.0,120.0,1.4,144.0,250.0,1,200.0,40.0,10.0,0.03,0.85,0.84,1252.1913348359628,1.2243439979067725,0.7953485686194124,1027.7947000000001,1017.6947,24770.250000000335,2.4688468197391136,3229.1806259947184,10000.0,13229.180625994719,1.1502965218518932,0.01201070316486603,0.0,0.7,0.6879892968351339,11.256,0.056280000000000004,0.938877994239949,1.0,1.0,0.7953485686194124,1.7622229880518092,3.7719310983453216,2.2156612302838785,1.8723948746551964,PASS,NONE,NONE,0,True,True,False,PASSIVE_NATURAL,PASSIVE_STANDALONE,True,True,focus_window
4.5,24.0,250.0,1.2,300.0,240.0,2,200.0,40.0,10.0,0.03,0.85,0.84,1252.1913348359628,1.2243439979067725,0.5412788869771,1027.7947000000001,1017.6947,23779.440000000322,2.370092946949549,2271.8761643247335,10000.0,12271.876164324734,1.1469570302541203,0.011975834205827677,0.0,0.7,0.6880241657941724,11.256,0.056280000000000004,0.9388748964290893,1.0,1.0,0.5412788869771,1.4060441334627034,5.542429368997209,2.597633433136639,1.9377183799433162,PASS,NONE,NONE,0,True,True,False,PASSIVE_NATURAL,PASSIVE_STANDALONE,True,True,focus_window
4.5,24.0,60.0,1.0,90.0,250.0,3,200.0,38.0,10.0,0.03,0.85,0.84,1318.0961419325927,1.288283207263386,0.546764374768663,1027.7947000000001,1018.4885000000002,22823.45549999998,2.273927675309065,1910.4069089077943,10000.0,11910.406908907795,1.087279847404226,0.011950232653960403,0.0,0.7,0.6880497673460396,11.256,0.056280000000000004,0.9388726219486461,1.0,1.0,0.546764374768663,1.4939349181412211,5.486824194186584,2.732319417799135,1.9162616084031783,PASS,NONE,NONE,0,True,True,False,PASSIVE_NATURAL,PASSIVE_STANDALONE,True,True,focus_window
4.5,24.0,120.0,1.5,144.0,240.0,1,200.0,40.0,10.0,0.03,0.85,0.84,1252.1913348359628,1.2243439979067725,0.692836975330688,1027.7947000000001,1017.6947,23779.440000000322,2.370092946949549,2307.6526963791894,10000.0,12307.65269637919,1.1433911890783577,0.011938601840883904,0.0,0.7,0.688061398159116,11.256,0.056280000000000004,0.9388715886496876,1.0,1.0,0.692836975330688,1.763538396518661,4.330022944529069,2.5453872401612685,1.9320857182617803,PASS,NONE,NONE,0,True,True,False,PASSIVE_NATURAL,PASSIVE_STANDALONE,True,True,focus_window
4.5,24.0,60.0,1.1,90.0,240.0,2,200.0,40.0,10.0,0.03,0.85,0.84,1252.1913348359628,1.2243439979067725,0.6441666092950611,1027.7947000000001,1017.6947,23779.440000000322,2.370092946949549,2338.574149812236,10000.0,12338.574149812237,1.140309252805212,0.011906422119354195,0.0,0.7,0.6880935778806457,11.256,0.056280000000000004,0.9388687297547401,1.0,1.0,0.6441666092950611,1.6362902042030227,4.657180233671266,2.540166131854746,1.927243756958918,PASS,NONE,NONE,0,True,True,False,PASSIVE_NATURAL,PASSIVE_STANDALONE,True,True,focus_window
4.5,24.0,120.0,1.2,144.0,250.0,2,200.0,38.0,10.0,0.03,0.85,0.84,1318.0961419325927,1.288283207263386,0.5695462237173573,1027.7947000000001,1018.4885000000002,22823.45549999998,2.273927675309065,1958.826981392092,10000.0,11958.826981392092,1.082455698718129,0.011897210702625805,0.0,0.7,0.6881027892973742,11.256,0.056280000000000004,0.9388679113985986,1.0,1.0,0.5695462237173573,1.53243010274051,5.26735122641912,2.690615860357268,1.9085028603150813,PASS,NONE,NONE,0,True,True,False,PASSIVE_NATURAL,PASSIVE_STANDALONE,True,True,focus_window
4.5,24.0,250.0,1.1,300.0,250.0,2,200.0,40.0,10.0,0.03,0.85,0.84,1252.1913348359628,1.2243439979067725,0.6441666092950611,1027.7947000000001,1017.6947,24770.250000000335,2.4688468197391136,3473.2350351109126,10000.0,13473.235035110913,1.1259716582841128,0.01175671759654655,0.0,0.7,0.6882432824034534,11.256,0.056280000000000004,0.9388554297793662,1.0,1.0,0.6441666092950611,1.387024360104004,4.657180233671266,2.1532074778323014,1.8384782819753152,PASS,NONE,NONE,0,True,True,False,PASSIVE_NATURAL,PASSIVE_STANDALONE,True,True,focus_window
4.5,24.0,250.0,1.0,300.0,240.0,3,200.0,40.0,10.0,0.03,0.85,0.84,1252.1913348359628,1.2243439979067725,0.519627731498016,1027.7947000000001,1017.6947,23779.440000000322,2.370092946949549,2512.892573637667,10000.0,12512.892573637666,1.122934963636417,0.011725010260809245,0.0,0.7,0.6882749897391908,11.256,0.056280000000000004,0.9388526128518843,1.0,1.0,0.519627731498016,1.2847488975325037,5.773363926038758,2.472440979677407,1.900395121276688,PASS,NONE,NONE,0,True,True,False,PASSIVE_NATURAL,PASSIVE_STANDALONE,True,True,focus_window
4.5,24.0,60.0,1.2,90.0,230.0,2,200.0,40.0,10.0,0.03,0.85,0.84,1252.1913348359628,1.2243439979067725,0.5412788869771,1027.7947000000001,1017.6947,22788.630000000307,2.2713390741599846,1529.4143774631657,10000.0,11529.414377463167,1.1222042039324347,0.011717380108302788,0.0,0.7,0.6882826198916971,11.256,0.056280000000000004,0.9388519349776389,1.0,1.0,0.5412788869771,1.6506956562793618,5.542429368997209,3.049621361546285,1.9765643990162942,PASS,NONE,NONE,0,True,True,False,PASSIVE_NATURAL,PASSIVE_STANDALONE,True,True,focus_window
4.5,24.0,120.0,1.0,144.0,250.0,3,200.0,38.0,10.0,0.03,0.85,0.84,1318.0961419325927,1.288283207263386,0.546764374768663,1027.7947000000001,1018.4885000000002,22823.45549999998,2.273927675309065,2140.9555682875834,10000.0,12140.955568287583,1.064310013714095,0.011697772482574746,0.0,0.7,0.6883022275174252,11.256,0.056280000000000004,0.9388501930066253,1.0,1.0,0.546764374768663,1.410049034123263,5.486824194186584,2.5788970518056473,1.8798730768453924,PASS,NONE,NONE,0,True,True,False,PASSIVE_NATURAL,PASSIVE_STANDALONE,True,True,focus_window
4.5,24.0,120.0,1.1,144.0,240.0,2,200.0,40.0,10.0,0.03,0.85,0.84,1252.1913348359628,1.2243439979067725,0.6441666092950611,1027.7947000000001,1017.6947,23779.440000000322,2.370092946949549,2617.0818216582747,10000.0,12617.081821658274,1.1125504381016855,0.011616581302417862,0.0,0.7,0.6883834186975821,11.256,0.056280000000000004,0.9388429798598452,1.0,1.0,0.6441666092950611,1.545836722304016,4.657180233671266,2.3997467425324803,1.8847020520371778,PASS,NONE,NONE,0,True,True,False,PASSIVE_NATURAL,PASSIVE_STANDALONE,True,True,focus_window
4.5,24.0,60.0,1.0,90.0,230.0,3,200.0,40.0,10.0,0.03,0.85,0.84,1252.1913348359628,1.2243439979067725,0.519627731498016,1027.7947000000001,1017.6947,22788.630000000307,2.2713390741599846,1657.8825128454564,10000.0,11657.882512845455,1.1093998056128225,0.011583684296396845,0.0,0.7,0.6884163157036032,11.256,0.056280000000000004,0.9388400572402628,1.0,1.0,0.519627731498016,1.5268846337988815,5.773363926038758,2.938420221332454,1.9547829526408615,PASS,NONE,NONE,0,True,True,False,PASSIVE_NATURAL,PASSIVE_STANDALONE,True,True,focus_window
4.5,24.0,120.0,1.2,144.0,230.0,2,200.0,40.0,10.0,0.03,0.85,0.84,1252.1913348359628,1.2243439979067725,0.5412788869771,1027.7947000000001,1017.6947,22788.630000000307,2.2713390741599846,1711.6549978746411,10000.0,11711.65499787464,1.1040403107085008,0.011527723679993532,0.0,0.7,0.6884722763200065,11.256,0.056280000000000004,0.9388350856147827,1.0,1.0,0.5412788869771,1.5605478957707966,5.542429368997209,2.883075496415619,1.9458078302456696,PASS,NONE,NONE,0,True,True,False,PASSIVE_NATURAL,PASSIVE_STANDALONE,True,True,focus_window
4.5,24.0,60.0,1.0,90.0,250.0,2,200.0,40.0,10.0,0.03,0.85,0.84,1252.1913348359628,1.2243439979067725,0.779441597247024,1027.7947000000001,1017.6947,24770.250000000335,2.4688468197391136,3725.0171538942013,10000.0,13725.017153894201,1.1008765751410161,0.011494689859520867,0.0,0.7,0.6885053101404791,11.256,0.056280000000000004,0.9388321508403981,1.0,1.0,0.779441597247024,1.6089194194721028,3.8489092840258388,2.064194963618547,1.8047518427306495,PASS,NONE,NONE,0,True,True,False,PASSIVE_NATURAL,PASSIVE_STANDALONE,True,True,focus_window
4.5,24.0,60.0,1.5,90.0,250.0,1,200.0,38.0,10.0,0.03,0.85,0.84,1318.0961419325927,1.288283207263386,0.7290191663582173,1027.7947000000001,1018.4885000000002,22823.45549999998,2.273927675309065,2345.0578011350326,10000.0,12345.057801135034,1.0439750685580387,0.011474272225303764,0.0,0.7,0.6885257277746962,11.256,0.056280000000000004,0.9388303369070099,1.0,1.0,0.7290191663582173,1.768666578333519,4.115118145639937,2.4260906433623872,1.8487929232620957,PASS,NONE,NONE,0,True,True,False,PASSIVE_NATURAL,PASSIVE_STANDALONE,True,True,focus_window
